file,status,method,n
error_de__v1_357892814234_0.jpg,"rejected (rim 0.96, fill 0.59)",hough,0
error_de__v1_358302957066_0.jpg,"rejected (rim 0.62, fill 0.58)",hough,0
error_de__v1_358372247255_0.jpg,"rejected (rim 0.99, fill 0.42)",hough,0
error_de__v1_358633884548_0.png,ok,threshold,1
error_de__v1_358720968640_0.png,ok,hough,1
error_de__v1_358758446847_0.png,ok,hough,1
error_de__v1_366210582628_0.png,ok,hough,1
error_de__v1_366482644199_0.jpg,"rejected (rim 0.81, fill 0.68)",hough,0
error_de__v1_377198197637_0.jpg,"rejected (rim 0.84, fill 0.93)",hough,0
error_de__v1_377202750143_0.jpg,"rejected (rim 0.86, fill 0.80)",hough,0
error_de__v1_377333894499_0.jpg,"rejected (rim 0.82, fill 0.68)",hough,0
error_de__v1_377359772545_0.jpg,"rejected (rim 0.72, fill 0.82)",hough,0
error_de__v1_389825019606_0.jpg,"rejected (rim 0.83, fill 0.77)",hough,0
error_de__v1_389901438570_0.png,ok,threshold,1
error_de__v1_389901638125_0.png,ok,hough,1
error_de__v1_397632071582_0_a.png,ok,hough,2
error_de__v1_397632071582_0_b.png,ok,hough,2
error_de__v1_397855091022_0.jpg,"rejected (rim 0.55, fill 0.98)",hough,0
error_de__v1_398192336084_0.png,ok,threshold,1
error_de__v1_398200800110_0.png,ok,hough,1
error_de__v1_406714188930_0_a.png,ok,hough,2
error_de__v1_406714188930_0_b.png,ok,hough,2
error_de__v1_406714213404_0_a.png,ok,hough,2
error_de__v1_406714213404_0_b.png,ok,hough,2
error_de__v1_406714261114_0.png,ok,hough,1
error_de__v1_406736765556_0_a.png,ok,threshold,2
error_de__v1_406736765556_0_b.png,ok,threshold,2
error_de__v1_406893337181_0.png,ok,hough,1
error_de__v1_406943905053_0.png,ok,threshold,1
error_de__v1_406953009738_0.png,ok,threshold,1
error_de__v1_407095330276_0.png,ok,hough,1
error_de__v1_800027337339_0.png,ok,hough,1
error_de__v1_800123999605_0.png,ok,hough,1
error_de__v1_800333894206_0.jpg,"rejected (rim 0.83, fill 0.81)",hough,0
error_de__v1_800371880205_0.png,ok,hough,1
mule__v1_206387086567_0.png,ok,hough,1
off_centre__v1_147148834772_0.png,ok,hough,1
off_centre__v1_147328461137_0.png,ok,threshold,1
off_centre__v1_157523630509_0.png,ok,threshold,1
off_centre__v1_198494464686_0.jpg,"rejected (rim 0.51, fill 0.75)",threshold,0
off_centre__v1_198494468518_0.jpg,"rejected (rim 0.79, fill 0.82)",hough,0
off_centre__v1_254945742895_0.jpg,"rejected (rim 0.75, fill 0.91)",hough,0
off_centre__v1_255459010022_0.png,ok,hough,1
off_centre__v1_256195359849_0.jpg,"rejected (rim 0.56, fill 0.74)",hough,0
off_centre__v1_355007837577_0_a.png,ok,hough,2
off_centre__v1_355007837577_0_b.png,ok,hough,2
off_centre__v1_355520541305_0_a.png,ok,threshold,2
off_centre__v1_355520541305_0_b.png,ok,threshold,2
off_centre__v1_355520972114_0_a.png,ok,hough,2
off_centre__v1_355520972114_0_b.png,ok,hough,2
off_centre__v1_377193330198_0.jpg,"rejected (rim 0.81, fill 0.79)",hough,0
off_centre__v1_397893094131_0.jpg,"rejected (rim 0.57, fill 0.86)",hough,0
spiegelei__v1_254944019147_0.jpg,"rejected (rim 0.99, fill 0.52)",threshold,0
spiegelei__v1_355349741457_0.png,ok,hough,1
spiegelei__v1_355499222738_0_a.png,ok,hough,2
spiegelei__v1_355499222738_0_b.png,ok,hough,2
spiegelei__v1_366203545557_0.png,ok,hough,1
unsorted__v1_114471701119_0.png,ok,hough,1
unsorted__v1_123802064455_426982319863.jpg,"rejected (rim 0.66, fill 0.85)",hough,0
unsorted__v1_126134350443_0.png,ok,threshold,1
unsorted__v1_127763557981_0.png,ok,hough,1
unsorted__v1_135600089002_0_a.png,ok,hough,2
unsorted__v1_135600089002_0_b.png,ok,hough,2
unsorted__v1_147161901017_0.png,ok,hough,1
unsorted__v1_156175862556_0.png,ok,hough,1
unsorted__v1_156688820042_0.jpg,"rejected (rim 0.72, fill 0.84)",hough,0
unsorted__v1_156864044569_0.jpg,"rejected (rim 0.70, fill 0.63)",hough,0
unsorted__v1_164668170584_0.png,ok,threshold,1
unsorted__v1_166606407203_0.png,ok,hough,1
unsorted__v1_174586500155_0.png,ok,hough,1
unsorted__v1_177142958325_0.jpg,"rejected (rim 0.82, fill 0.78)",hough,0
unsorted__v1_177542474746_0.jpg,"rejected (rim 0.76, fill 0.74)",hough,0
unsorted__v1_177822239289_0.png,ok,hough,1
unsorted__v1_186449976955_0.png,ok,hough,1
unsorted__v1_186855622661_0.png,ok,hough,1
unsorted__v1_187586858987_0.jpg,"rejected (rim 0.79, fill 0.77)",hough,0
unsorted__v1_194993063997_0.jpg,"rejected (rim 0.74, fill 0.58)",hough,0
unsorted__v1_196160469137_0.png,ok,hough,1
unsorted__v1_197032954399_0.jpg,"rejected (rim 0.84, fill 0.59)",hough,0
unsorted__v1_197379184264_0.jpg,"rejected (rim 0.87, fill 0.81)",hough,0
unsorted__v1_197943666029_0.png,ok,threshold,1
unsorted__v1_198300846577_0.png,ok,hough,1
unsorted__v1_198410756310_0.jpg,"rejected (rim 0.56, fill 0.67)",hough,0
unsorted__v1_198467223699_0.png,ok,hough,1
unsorted__v1_198468395638_0.png,ok,hough,1
unsorted__v1_198470778311_0.png,ok,hough,1
unsorted__v1_203869719013_0.png,ok,hough,1
unsorted__v1_206200919943_0.png,ok,hough,1
unsorted__v1_206300562748_0_a.png,ok,hough,2
unsorted__v1_206300562748_0_b.png,ok,hough,2
unsorted__v1_206319553573_0.jpg,"rejected (rim 1.00, fill 0.71)",hough,0
unsorted__v1_206327138552_0.jpg,"rejected (rim 0.62, fill 0.64)",hough,0
unsorted__v1_206328969837_0.png,ok,hough,1
unsorted__v1_206336148182_0.png,ok,hough,1
unsorted__v1_206343512168_0.png,ok,hough,1
unsorted__v1_206343541075_0.png,ok,hough,1
unsorted__v1_206385766366_0.png,ok,hough,1
unsorted__v1_206387083685_0.jpg,"rejected (rim 0.71, fill 0.84)",hough,0
unsorted__v1_206387155328_0.png,ok,hough,1
unsorted__v1_206389416179_0.png,ok,hough,1
unsorted__v1_206390633102_0.png,ok,hough,1
unsorted__v1_206390812989_0.jpg,"rejected (rim 0.87, fill 0.81)",hough,0
unsorted__v1_206400083916_0.png,ok,hough,1
unsorted__v1_206400086012_0.png,ok,hough,1
unsorted__v1_222255800411_521179519775.jpg,no coin found,threshold,0
unsorted__v1_225680283591_0_a.png,ok,hough,2
unsorted__v1_225680283591_0_b.png,ok,hough,2
